What is the <strong>operating system</strong> that you will use during the course (on your laptop)?,Other,I don't use version control and I don't know what it is,I don't use version control but I know what it is,"I use version control, but I don't know which system",Git,Mercurial,Subversion,CVS,Perforce,Bazaar,Other,Matlab,R,Python,Perl,C,C++,Fortran 77,Fortran 90+,Julia,Haskell,Go,Other,Are you using <strong>automated testing</strong> in your programming project(s)?,Are you using <strong>code coverage analysis</strong> in your programming project(s)?,Are you employing <strong>code review</strong> in your programming project(s)?,Are you using the <strong>Travis or Jenkins</strong> continuous integration service in your programming project(s)?,No documentation,Comments in the source code,Doxygen,Wiki,RST/Sphinx,"Read the Docs",MkDocs,PDF,HMTL,Markdown,README files,Other,CMake,Makefiles,SCons,Autotools,None or not applicable to my project(s),Other,I'm not using a web-based repository,GitHub,GitLab,Bitbucket,Redmine,Other,How would you describe your <strong>programming experience</strong>?,Please specify your main <strong>academic discipline</strong>.,Start Date (UTC),Submit Date (UTC)
Linux,,,,,Git,,,,,,,Matlab,,Python,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,Makefiles,,,,,I'm not using a web-based repository,,,,,,I have written my own simple programs,Physical Sciences,2016-11-04 12:24:06,2016-11-04 12:31:04
Linux,,,,,Git,,,,,,,,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,CMake,Makefiles,,,None or not applicable to my project(s),,I'm not using a web-based repository,GitHub,,,,,I have written many small codes and/or contributed to large complex software,Computer and Information Sciences,2016-11-02 15:27:21,2016-11-02 15:31:14
Linux,,,,,Git,,,,,,,Matlab,R,Python,,C,,Fortran 77,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,CMake,Makefiles,,,,,,,GitLab,,,,I am an expert,Physical Sciences,2016-11-02 13:51:18,2016-11-02 13:56:07
Linux,,,,,Git,,,,,,,Matlab,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,No documentation,,,,,,,,,,,,,,,,,Never used one before,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,Computer and Information Sciences,2016-11-01 16:00:06,2016-11-01 16:04:47
Mac OS X,,,,,Git,,,,,,,Matlab,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,None or not applicable to my project(s),,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,Psychology,2016-11-01 11:39:47,2016-11-01 11:56:44
Windows,,,,,Git,,,,,,,,R,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No but I know what at least one of them does,,Comments in the source code,,,,,,,,,,,,,,,None or not applicable to my project(s),,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,Computer and Information Sciences,2016-11-01 11:34:41,2016-11-01 11:43:18
Linux,,,,,Git,,,,,,,,R,Python,Perl,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,None or not applicable to my project(s),,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,Biological Sciences,2016-11-01 09:52:02,2016-11-01 09:55:48
Linux,,,,,Git,,,,,,,,R,Python,,,,,,,Haskell,,,No but I know what it is,No but I know what it is,No but I know what it is,No but I know what at least one of them does,,Comments in the source code,,,,,,,,,README files,,,,,,,"sbt, gradle, scalas",,GitHub,,,,,I have written many small codes and/or contributed to large complex software,Medical Biotechnology,2016-11-01 07:28:14,2016-11-01 07:34:37
Windows,,,,,Git,,,,,,,,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,CMake,,,,,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,Computer and Information Sciences,2016-11-01 07:18:58,2016-11-01 07:24:12
