What is the <strong>operating system</strong> that you will use during the course (on your laptop)?,Other,"Which <strong>version</strong> of operating system are you using? If your operating system is Linux, which <strong>distribution</strong> are you using?",I don't use version control and I don't know what it is,I don't use version control but I know what it is,"I use version control, but I don't know which system",Git,Mercurial,Subversion,CVS,Perforce,Bazaar,Other,Matlab,R,Python,Perl,C,C++,Fortran 77,Fortran 90+,Julia,Haskell,Go,Other,Are you using <strong>automated testing</strong> in your programming project(s)?,Are you using <strong>code coverage analysis</strong> in your programming project(s)?,Are you employing <strong>code review</strong> in your programming project(s)?,Are you using the <strong>Travis or Jenkins</strong> continuous integration service in your programming project(s)?,No documentation,Comments in the source code,Doxygen,Wiki,RST/Sphinx,"Read the Docs",MkDocs,PDF,HMTL,Markdown,README files,Other,CMake,Makefiles,SCons,Autotools,"None, but I want to learn",Not relevant to my project(s),Other,I'm not using a web-based repository,GitHub,GitLab,Bitbucket,Redmine,Other,How would you describe your <strong>programming experience</strong>?,How comfortable are you with the Unix/Linux <strong>command line</strong> working in a <strong>terminal window</strong>?,Are you using an <strong>integrated development environment (IDE)</strong> for your programming project(s)?,Please specify your main <strong>academic discipline</strong>.,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,Start Date (UTC),Submit Date (UTC)
Linux,,Debian 9 // Ubuntu 17.04 // Windows 10,,,,Git,,,,,,,,,,,C,,,Fortran 90+,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what at least one of them does,,Comments in the source code,,,,,,,,,README files,,CMake,Makefiles,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Chemical Sciences,Git and version control,,,Automated testing,CMake,Modular code development,,,2017-11-26 11:33:14,2017-11-26 11:37:02
Linux,,Ubuntu 16,,,,Git,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,"Electrical Engineering, Electronic Engineering, Information Engineering",Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,,2017-11-17 23:45:36,2017-11-17 23:53:08
Linux,,Ubuntu 16.04,,I don't use version control but I know what it is,,Git,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Physical Sciences,Git and version control,,,Automated testing,CMake,,,Documentation,2017-11-17 20:58:27,2017-11-17 21:06:23
Linux,,Ubuntu 16.04,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,"Read the Docs",,,,,,,,,,,"None, but I want to learn",,,,GitHub,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mechanical Engineering,Git and version control,,,Automated testing,CMake,Modular code development,,Documentation,2017-11-17 16:32:36,2017-11-17 16:36:05
Mac OS X,,Mac OS X High Sierra,,,,Git,,,,,,,Matlab,,Python,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,PDF,,,README files,,,Makefiles,,,,,,,GitHub,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,Git and version control,,Integrated development environments,Automated testing,CMake,Modular code development,,,2017-11-17 14:13:53,2017-11-17 14:23:40
Mac OS X,,Sierra v 10.12.5,,I don't use version control but I know what it is,,,,,,,,,Matlab,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,,,,,,"Dropbox, Google Drive",I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,,Documentation,2017-11-17 13:42:21,2017-11-17 13:48:07
Linux,,Linux Mint 18.2,,,,Git,,,,,,,Matlab,,,,C,,Fortran 77,Fortran 90+,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,PDF,,,README files,,,Makefiles,,,,,,,,GitLab,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,"Electrical Engineering, Electronic Engineering, Information Engineering",Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,2017-11-17 13:29:52,2017-11-17 13:40:07
Linux,,Lubuntu 16.04,,I don't use version control but I know what it is,,,,,,,,,Matlab,,,,C,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Nano-technology,Git and version control,,Integrated development environments,Automated testing,,Modular code development,,Documentation,2017-11-17 13:09:04,2017-11-17 13:32:27
Linux,,Ubuntu 16.04 LTS,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Other,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,,Documentation,2017-11-17 12:42:17,2017-11-17 12:57:34
Linux,,Xubuntu,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,Perl,,,,,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,No documentation,,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Physical Sciences,,,,Automated testing,,Modular code development,,,2017-11-17 11:30:50,2017-11-17 11:35:33
Windows,,I don't know yet what version of windows it will be (a campaign for new laptop is ongoing),I don't use version control and I don't know what it is,,,,,,,,,,,,Python,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,PDF,,,README files,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Physical Sciences,Git and version control,Jupyter notebooks,,Automated testing,,Modular code development,,Documentation,2017-11-14 14:33:33,2017-11-14 14:48:15
Mac OS X,,I don't know. I'm in the process of buying a new laptop.,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mathematics,Git and version control,Jupyter notebooks,Integrated development environments,,,Modular code development,,Documentation,2017-11-14 11:51:29,2017-11-14 12:08:25
Mac OS X,,Mac OS X High Sierra 10.13.1,,,,Git,,,,,,,,,Python,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,Doxygen,,,,,,,,README files,,,Makefiles,,,,,,,,,,,yousource.it.jyu.fi (Git),I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,,,2017-11-14 10:16:30,2017-11-14 10:20:14
Mac OS X,,10.12,,,,Git,,,,,,,,,Python,,,C++,,Fortran 90+,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,Wiki,,,,PDF,,,README files,,,Makefiles,,,,,,,,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Git and version control,,Integrated development environments,Automated testing,CMake,Modular code development,,,2017-11-14 08:49:22,2017-11-14 08:54:41
Mac OS X,,"OS X El Capitan, 10.11.5",,,,Git,,,,,,,,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,Makefiles,,,,,,,,,Bitbucket,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Computer and Information Sciences,,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,2017-11-14 08:40:03,2017-11-14 08:50:48
Windows,,Windows 10,I don't use version control and I don't know what it is,,,,,,,,,,,R,,Perl,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Biological Sciences,Git and version control,,Integrated development environments,Automated testing,CMake,,,,2017-11-14 08:25:59,2017-11-14 08:32:56
Linux,,4.4.0-97-generic #120-Ubuntu SMP,,I don't use version control but I know what it is,,,,,,,,,Matlab,,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Biological Sciences,Git and version control,Jupyter notebooks,,Automated testing,CMake,,,,2017-11-14 08:05:09,2017-11-14 08:17:55
Linux,,Ubuntu 17.10 or 16.04,,,,Git,,,,,,,,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,RST/Sphinx,,,,,,,,,,,,"None, but I want to learn",,,,,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,,,,Automated testing,,Modular code development,Software licensing,,2017-11-14 07:57:33,2017-11-14 08:08:22
Mac OS X,,macOS version 10.12.6,I don't use version control and I don't know what it is,,,,,,,,,,,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,"Read the Docs",,,,,README files,,,,,,,,Anaconda,,GitHub,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,,Jupyter notebooks,,,,,,,2017-11-14 07:51:23,2017-11-14 08:01:57
Mac OS X,,Mac OS Sierra,I don't use version control and I don't know what it is,,,,,,,,,,,,Python,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,No documentation,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",Not relevant to my project(s),,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,,,,Documentation,2017-11-14 07:35:17,2017-11-14 07:39:30
Windows,,7,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,Python,,C,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,Makefiles,,,,,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)","Electrical Engineering, Electronic Engineering, Information Engineering",Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,2017-11-13 18:32:16,2017-11-13 18:37:51
Mac OS X,,mac ,I don't use version control and I don't know what it is,,,,,,,,,,,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,,Not relevant to my project(s),,,GitHub,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Git and version control,,,,CMake,Modular code development,Software licensing,,2017-11-13 18:00:36,2017-11-13 18:06:58
Windows,,Windows 7,,,,Git,,,,,,,,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,,GitHub,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Earth and Related Environmental Sciences,,Jupyter notebooks,,,,Modular code development,,,2017-11-13 17:42:30,2017-11-13 17:50:55
Mac OS X,,10.12,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,R,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,,Not relevant to my project(s),,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Medical Biotechnology,,,Integrated development environments,,,Modular code development,,,2017-11-13 17:06:12,2017-11-13 17:08:18
