What is the <strong>operating system</strong> that you will use during the course (on your laptop)?,Other,"Which <strong>version</strong> of operating system are you using? If your operating system is Linux, which <strong>distribution</strong> are you using?",I don't use version control and I don't know what it is,I don't use version control but I know what it is,"I use version control, but I don't know which system",Git,Mercurial,Subversion,CVS,Perforce,Bazaar,Other,Matlab,R,Python,Perl,C,C++,Fortran 77,Fortran 90+,Julia,Haskell,Go,Other,I'm not using a web-based repository,GitHub,GitLab,Bitbucket,Redmine,Other,How would you describe your <strong>programming experience</strong>?,How comfortable are you with the Unix/Linux <strong>command line</strong> working in a <strong>terminal window</strong>?,Please specify your main <strong>academic discipline</strong>.,Start Date (UTC),Submit Date (UTC)
Mac OS X,,Mac OS Sierra 10.12.6,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,Python,,,,,,,,,Java,I'm not using a web-based repository,,,,,,I have written my own simple programs,I do not know what most of these commands do,Computer and Information Sciences,2017-10-13 11:34:03,2017-10-13 11:38:26
Mac OS X,,macOS Sierra,I don't use version control and I don't know what it is,,,,,,,,,,,,Python,,,,,,,,,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Computer and Information Sciences,2017-10-13 11:33:38,2017-10-13 11:38:22
Linux,,Ubuntu 17,,I don't use version control but I know what it is,,Git,,,,,,,,,Python,,,C++,,Fortran 90+,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Physical Sciences,2017-10-13 09:04:40,2017-10-13 09:09:57
Mac OS X,,10.12.6,,,,Git,Mercurial,Subversion,,,,,,,Python,,C,C++,,,,,,,,GitHub,,Bitbucket,,,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Computer and Information Sciences,2017-10-11 08:26:44,2017-10-11 08:31:28
Linux,,Ubuntu Xenial 16.04LTS,,,,Git,,Subversion,CVS,,,RCS,,,Python,Perl,C,C++,,,,,Go,,,GitHub,,,,gogs,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Computer and Information Sciences,2017-10-05 14:01:25,2017-10-05 14:08:49
Mac OS X,,10.12.6,,,,Git,,Subversion,,,,,,,Python,,,,,,,,,Java,,,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Computer and Information Sciences,2017-10-04 21:37:02,2017-10-04 21:43:04
Linux,,Ubuntu,,,,Git,,Subversion,CVS,,,,,,Python,Perl,,,,,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Computer and Information Sciences,2017-10-04 13:28:58,2017-10-04 13:32:29
Linux,,Ubuntu,,,,Git,,,,,,,,,Python,Perl,C,,,,,,,,,,,,,Gogs,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Computer and Information Sciences,2017-09-25 12:33:55,2017-09-25 12:38:25
Linux,,Linux Ubuntu Xenial,,,,Git,,Subversion,CVS,,,,Matlab,,Python,,C,,,,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Computer and Information Sciences,2017-09-25 08:39:10,2017-09-25 08:41:55
Mac OS X,,Siera,,,,Git,,Subversion,CVS,,,,,R,Python,,,C++,,,,,,JS (node),,GitHub,GitLab,Bitbucket,,,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Computer and Information Sciences,2017-09-20 00:04:07,2017-09-20 00:09:57
Linux,,SUSE 13,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,,,Fortran 90+,,,,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Chemical Sciences,2017-09-19 10:48:39,2017-09-19 10:56:33
Mac OS X,,OS X Serria 10.12,,,,Git,,,,,,,,R,Python,,C,C++,,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Computer and Information Sciences,2017-09-18 12:17:22,2017-09-18 12:20:55
Linux,,Ubuntu 16.04 LTS,,I don't use version control but I know what it is,,,,,,,,,Matlab,R,Python,Perl,,,,,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Medical Biotechnology,2017-09-18 12:02:33,2017-09-18 12:15:56
Mac OS X,,MacOS,,,,Git,,Subversion,,,,,,,Python,Perl,C,,,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Computer and Information Sciences,2017-09-18 12:12:19,2017-09-18 12:15:50
