What is the <strong>operating system</strong> that you will use during the course (on your laptop)?,Other,"Which <strong>version</strong> of operating system are you using? If your operating system is Linux, which <strong>distribution</strong> are you using?",I don't use version control and I don't know what it is,I don't use version control but I know what it is,"I use version control, but I don't know which system",Git,Mercurial,Subversion,CVS,Perforce,Bazaar,Other,Matlab,R,Python,Perl,C,C++,Fortran 77,Fortran 90+,Julia,Haskell,Go,Other,Are you using <strong>automated testing</strong> in your programming project(s)?,Are you using <strong>code coverage analysis</strong> in your programming project(s)?,Are you employing <strong>code review</strong> in your programming project(s)?,Are you using the <strong>Travis or Jenkins</strong> continuous integration service in your programming project(s)?,No documentation,Comments in the source code,Doxygen,Wiki,RST/Sphinx,"Read the Docs",MkDocs,PDF,HMTL,Markdown,README files,Other,CMake,Makefiles,SCons,Autotools,"None, but I want to learn",Not relevant to my project(s),Other,I'm not using a web-based repository,GitHub,GitLab,Bitbucket,Redmine,Other,How would you describe your <strong>programming experience</strong>?,How comfortable are you with the Unix/Linux <strong>command line</strong> working in a <strong>terminal window</strong>?,Are you using an <strong>integrated development environment (IDE)</strong> for your programming project(s)?,Please specify your main <strong>academic discipline</strong>.,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,Start Date (UTC),Submit Date (UTC)
Windows,,Windows 10,,,,Git,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,PDF,,,README files,,,,,,,Not relevant to my project(s),I don't know whether this is relevant or not.,,,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Earth and Related Environmental Sciences,,,,,,Modular code development,Software licensing,Documentation,2018-02-22 09:43:06,2018-02-22 09:50:01
Windows,,10,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,R,Python,Perl,,,,,Julia,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,No documentation,,,,,,,,,Markdown,README files,,,,,,"None, but I want to learn",,,,,GitLab,,,,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,No and I don't know what it is,Earth and Related Environmental Sciences,Git and version control,Jupyter notebooks,,,,,,,2018-02-21 11:02:35,2018-02-21 11:07:05
Mac OS X,,macOS High Sierra,,,,Git,,,,,,,Matlab,,Python,,,,,,,,,,No but I know what it is,No but I know what it is,Yes,No and I don't know either of those,,Comments in the source code,,Wiki,,,,,,,,,,,,,"None, but I want to learn",,,,GitHub,,Bitbucket,,,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Basic Medicine,Git and version control,Jupyter notebooks,,Automated testing,,Modular code development,,Documentation,2018-02-19 06:56:19,2018-02-19 07:14:47
Windows,,10,,I don't use version control but I know what it is,,,,,,,,,Matlab,,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,I do not know what most of these commands do,No and I don't know what it is,Economics and Business,Git and version control,,,,,Modular code development,,,2018-02-14 11:04:54,2018-02-14 11:09:14
Linux,,"Ubuntu, Manjaro",,,,Git,,,,,,,,,Python,,,,,,,,Go,,Yes,Yes,No but I know what it is,"Yes, I use either Travis or Jenkins or both",No documentation,,,,,,,,,,,,,,,,"None, but I want to learn",,,,GitHub,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Materials Engineering,,,,,,Modular code development,,,2018-02-09 09:04:29,2018-02-09 09:08:14
Windows,,Windows 10,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,Wiki,,,,,,,,,,,,,,Not relevant to my project(s),,,,,Bitbucket,,,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Biological Sciences,Git and version control,Jupyter notebooks,Integrated development environments,,,Modular code development,Software licensing,,2018-02-08 13:51:52,2018-02-08 13:55:35
Windows,,Windows 7,,I don't use version control but I know what it is,,,,,,,,,,R,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Git and version control,Jupyter notebooks,Integrated development environments,,,Modular code development,,Documentation,2018-02-07 09:41:18,2018-02-07 09:50:26
Linux,,Ubuntu 16.4 with Xfce desktop,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,C++,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,,,,,,,PDF,,,,,,Makefiles,,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Physical Sciences,Git and version control,,,Automated testing,,Modular code development,Software licensing,Documentation,2018-02-03 08:05:29,2018-02-03 08:11:03
Windows,,"Windows 10 Home, 64-bit",,,,Git,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,,,GitLab,,,,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Earth and Related Environmental Sciences,Git and version control,Jupyter notebooks,,Automated testing,,Modular code development,,,2018-01-23 15:25:54,2018-01-23 15:33:06
