What is the <strong>operating system</strong> that you will use during the course (on your laptop)?,Other,"Which <strong>version</strong> of operating system are you using? If your operating system is Linux, which <strong>distribution</strong> are you using?",I don't use version control and I don't know what it is,I don't use version control but I know what it is,"I use version control, but I don't know which system",Git,Mercurial,Subversion,CVS,Perforce,Bazaar,Other,Matlab,R,Python,Perl,C,C++,Fortran 77,Fortran 90+,Julia,Haskell,Go,Other,Are you using <strong>automated testing</strong> in your programming project(s)?,Are you using <strong>code coverage analysis</strong> in your programming project(s)?,Are you employing <strong>code review</strong> in your programming project(s)?,Are you using the <strong>Travis or Jenkins</strong> continuous integration service in your programming project(s)?,No documentation,Comments in the source code,Doxygen,Wiki,RST/Sphinx,"Read the Docs",MkDocs,PDF,HMTL,Markdown,README files,Other,CMake,Makefiles,SCons,Autotools,"None, but I want to learn",Not relevant to my project(s),Other,I'm not using a web-based repository,GitHub,GitLab,Bitbucket,Redmine,Other,How would you describe your <strong>programming experience</strong>?,How comfortable are you with the Unix/Linux <strong>command line</strong> working in a <strong>terminal window</strong>?,Are you using an <strong>integrated development environment (IDE)</strong> for your programming project(s)?,Please specify your main <strong>academic discipline</strong>.,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,Reproducible research,Start Date (UTC),Submit Date (UTC)
Windows,,Windows 10,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,,,,,,,PDF,,,README files,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,No and I don't know what it is,Other Natural Sciences,Git and version control,,Integrated development environments,Automated testing,,Modular code development,Software licensing,Documentation,,2018-04-10 06:30:44,2018-04-10 06:38:33
Linux,,Ubuntu 16.04,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,,,,,,,PDF,,,,,CMake,,,,,,,I'm not using a web-based repository,,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Environmental Engineering,,,,,CMake,Modular code development,,Documentation,,2018-04-06 13:45:04,2018-04-06 13:55:30
Windows,,Windows 10 Pro,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Environmental Engineering,Git and version control,,Integrated development environments,Automated testing,,Modular code development,,,,2018-04-06 11:30:47,2018-04-06 11:46:52
Linux,,Ubuntu,,,,,,Subversion,,,,,,,,,C,C++,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,CMake,,,,,,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,Git and version control,,,Automated testing,CMake,Modular code development,,,Reproducible research,2018-03-28 14:04:10,2018-03-28 14:20:48
Mac OS X,,macOS Sierra,,,,Git,,,,,,,,,Python,,,,,,,Haskell,,,No but I know what it is,No but I know what it is,Yes,No but I know what at least one of them does,,Comments in the source code,,,,,,,,Markdown,,,,Makefiles,,,,,,,GitHub,,,,,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Git and version control,Jupyter notebooks,,Automated testing,,,,,Reproducible research,2018-03-28 09:33:22,2018-03-28 09:39:04
Windows,,8.1,I don't use version control and I don't know what it is,,,,,,CVS,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No but I know what at least one of them does,,,,,,,,PDF,,,,,,,,,"None, but I want to learn",,,,GitHub,GitLab,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Computer and Information Sciences,,,,,,,Software licensing,Documentation,,2018-03-27 13:44:59,2018-03-27 13:49:21
Linux,,Ubuntu,,I don't use version control but I know what it is,,,,,,,,,,R,,Perl,,,,,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,README files,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Git and version control,Jupyter notebooks,,Automated testing,,Modular code development,,Documentation,Reproducible research,2018-03-26 16:00:35,2018-03-26 17:12:12
Mac OS X,,10.13 - High Sierra,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,C++,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,Makefiles,,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,Git and version control,,,Automated testing,,Modular code development,Software licensing,Documentation,,2018-03-21 18:29:53,2018-03-21 18:37:38
Windows,,Windows 10,,,,Git,,,,,,,Matlab,,Python,,,,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Environmental Engineering,Git and version control,,,Automated testing,,Modular code development,Software licensing,Documentation,Reproducible research,2018-03-19 09:05:23,2018-03-19 09:15:32
Windows,,10,,,,Git,,,,,,,,,,,,,,,Julia,,,,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,README files,,,,,,,Not relevant to my project(s),,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mathematics,Git and version control,,,Automated testing,,Modular code development,,Documentation,Reproducible research,2018-03-16 17:45:31,2018-03-16 17:56:25
Mac OS X,,"maxOS High Sierra, version 10.13.3",I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,Python,,C,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,PDF,,,,,CMake,,,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,No and I don't know what it is,Physical Sciences,Git and version control,,Integrated development environments,Automated testing,CMake,Modular code development,,,,2018-03-15 15:05:20,2018-03-15 15:14:21
Linux,,(L)ubuntu 16,,,,Git,,,,,,,,,Python,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,PDF,,,,,,Makefiles,,,,,,,,,Bitbucket,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Git and version control,Jupyter notebooks,,,,Modular code development,,Documentation,,2018-03-14 14:05:22,2018-03-14 14:14:18
Windows,,Windows 10,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,"Electrical Engineering, Electronic Engineering, Information Engineering",,Jupyter notebooks,Integrated development environments,Automated testing,,,,,,2018-03-12 11:13:22,2018-03-12 11:16:28
Windows,,Windows 10,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,"Electrical Engineering, Electronic Engineering, Information Engineering",,Jupyter notebooks,Integrated development environments,Automated testing,,,,,,2018-03-10 19:50:50,2018-03-10 20:02:37
Windows,,Windows 10,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Mathematics,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,Reproducible research,2018-03-09 21:59:03,2018-03-09 22:05:26
Mac OS X,,High Sierra,,,,Git,,Subversion,,,,,Matlab,,Python,,C,C++,Fortran 77,Fortran 90+,,,,,No but I know what it is,No and I don't know what it is,Yes,"Yes, I use either Travis or Jenkins or both",,Comments in the source code,Doxygen,Wiki,,"Read the Docs",,,,Markdown,README files,,CMake,Makefiles,SCons,Autotools,,,,,GitHub,GitLab,Bitbucket,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,,Jupyter notebooks,,Automated testing,CMake,Modular code development,,,,2018-03-06 18:24:14,2018-03-06 18:31:33
Mac OS X,,10.13.3,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,R,Python,,,,Fortran 77,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,,,,,,,,,,README files,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,,Jupyter notebooks,,,,,,,,2018-03-05 12:45:55,2018-03-05 12:50:12
Mac OS X,,10.11.6,,I don't use version control but I know what it is,,,,,,,,,,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,No documentation,,,,,,,,,,,,,,,,,Not relevant to my project(s),,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,Git and version control,Jupyter notebooks,Integrated development environments,,,,,,,2018-03-02 15:13:14,2018-03-02 15:17:14
Mac OS X,,10.10.5 (likely will update to High Sierra soon),,,,Git,,Subversion,,,,,,,Python,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,Doxygen,Wiki,,,,,,,README files,,CMake,Makefiles,,,,,,,GitHub,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,Git and version control,,Integrated development environments,Automated testing,CMake,Modular code development,,Documentation,Reproducible research,2018-03-02 13:26:04,2018-03-02 13:32:14
Mac OS X,,Latest Mac OS ,,,,Git,,Subversion,,,,,Matlab,,Python,,,C++,,Fortran 90+,,,,,No but I know what it is,No but I know what it is,No but I know what it is,No but I know what at least one of them does,,Comments in the source code,Doxygen,,RST/Sphinx,"Read the Docs",MkDocs,,,Markdown,README files,,CMake,,,,,,,,GitHub,,,,,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Civil Engineering,Git and version control,,,,CMake,,,,Reproducible research,2018-03-01 07:55:22,2018-03-01 07:58:37
Mac OS X,,"Currently MacOS Sierra, but might be upgraded before the workshop. ",,I don't use version control but I know what it is,,Git,,,,,,,,,Python,,,,Fortran 77,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,Makefiles,,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Chemical Sciences,Git and version control,Jupyter notebooks,Integrated development environments,,CMake,,,,,2018-02-28 16:00:37,2018-02-28 16:13:18
