Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is your current position?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,"Pre-workshop survey: Do you write tests (e.g. unit tests, integration tests, ...) in your programming project(s)?","Pre-workshop survey: Are you using automated testing platforms (e.g. Travis CI, Jenkins or GitLab CI) in your programming project(s)?",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using Jupyter Notebooks in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: What do you expect to get from this course?
,,2020-03-09 07:58:54.925286+00:00,Research software engineer,Computer and Information Sciences,Linux,Debian,I don't use version control but I know what it is; Git,Python; Perl,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,I'm not using a web-based repository; GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Introduction to version control; Documentation; Jupyter notebooks; Automated testing; Git branch design,Basic understanding and hands on to version control and automated testing. I need to get into using python and plan to self study before the course.
,,2020-03-03 14:57:58.284318+00:00,Graduate student,Mathematics,Linux,Ubuntu 18.04,Git,Python; C; C++; Fortran 77; Fortran 90+; Julia,No but I know what it is,No but I know what it is,No and I don't know what it is,Yes,No documentation; Comments in the source code,GitHub; GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Integrated development environments; Archaeology with Git; Git branch design; Reproducible research,Knowledge about software development. Tools that can help me in my development.
,,2020-03-03 13:45:34.895532+00:00,Postdoc,Chemical Sciences,Linux,Ubuntu 18.04.1,Git,Python; C; C++; Fortran 90+,Yes,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Doxygen; PDF,GitLab,I have written my own simple programs,I do not know what most of these commands do,I have tried an IDE but prefer text editors for my development,Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,"I would like to know more about good practices in programming: writing clean code with proper documentation and tests, its modularity, re-usability, etc."
,,2020-03-02 20:54:50.925975+00:00,Graduate student,Materials Engineering,Windows,Windows 10,I don't use version control and I don't know what it is,Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Other,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Reproducible research,Learn available tools and good practices when using other people scripts and how to help to improve them
,,2020-02-28 16:12:08.977725+00:00,Researcher,Physical Sciences,macOS,10.14.6 (18G84),Git,Matlab; Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code,GitHub; GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Introduction to version control; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Integrated development environments; Git branch design; Reproducible research,"Learn how to use better Git. Become better in coding, follow standards and procedures and be aware of them.     I should say I used a bit Spyder and PyCharm, now I am back to Jupyter Notebooks.    Usually I code like I like. I learned about Unity Tests in the Python course but I don't use them really.    I try a bit to do a bit of error handling, that would be also interesting.    Thank you."
,,2020-02-28 10:44:54.457195+00:00,Graduate student,Computer and Information Sciences,macOS,10.14.5 (18F132) Mojave,I don't use version control but I know what it is; Git,Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,Yes,No documentation; Comments in the source code; Markdown,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Introduction to version control; Documentation; Managing complexity and modular code development; Git branch design; Reproducible research,"My mess of a code has decreased my motivation and I am embarrassed to show it to anyone. I hope to get the tools to restructure my code such that I can easily share and backup without. I also hope to learn which pitfalls to avoid when writing similar code in the future with a focus on collaborative work including architecture, version control and testing."
,,2020-02-28 09:25:25.275688+00:00,Graduate student,Computer and Information Sciences,macOS,macOS Version 10.14.6,I don't use version control but I know what it is; Git,Matlab; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Integrated development environments; Archaeology with Git; Git branch design; Reproducible research,"I would like to start using the best practice to my research, in specific the version control."
,,2020-02-27 14:53:13.578914+00:00,Graduate student,Mechanical Engineering,Linux,UBUNTU,Git,Matlab; Python; C; C++,Yes,No and I don't know what it is,Yes,No and I don't know what it is,Comments in the source code,GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Introduction to version control; Documentation; Jupyter notebooks; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Reproducible research,"So far I've been coding and learned about some of these topics by experience, however, I would like to establish an efficient routine for my programming."
,,2020-02-27 14:52:53.959007+00:00,Researcher,Chemical Engineering,Windows,10,I don't use version control and I don't know what it is,Matlab; Python; Fortran 90+,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",,
,,2020-02-27 13:13:07.160362+00:00,Industry,"Electrical Engineering, Electronic Engineering, Information Engineering",Windows,Windows 10,Git,Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; PDF,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design,I am looking for a practical workshop to develop my skills regarding version controlling and best practices in coding era
