Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is your current position?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,"Pre-workshop survey: Do you write tests (e.g. unit tests, integration tests, ...) in your programming project(s)?","Pre-workshop survey: Are you using automated testing platforms (e.g. Travis CI, Jenkins or GitLab CI) in your programming project(s)?",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using Jupyter Notebooks in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: What do you expect to get from this course?
,,2020-01-20 15:08:17.320797+00:00,Postdoc,Physical Sciences,Linux,Ubuntu,Git,Python; Fortran 90+,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Introduction to version control; Jupyter notebooks; Managing complexity and modular code development; Automated testing; Integrated development environments; Git branch design,
,,2020-01-20 08:33:21.314457+00:00,Postdoc,Biological Sciences,macOS,10.14.6,I don't use version control but I know what it is,R; Other,Yes,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Introduction to version control; Jupyter notebooks; Collaborative distributed version control; Building portable code with CMake; Reproducible research,
,,2020-01-17 20:11:27.135542+00:00,Researcher,Earth and Related Environmental Sciences,macOS,10.14.6,Git,R; Python; Julia,No but I know what it is,No but I know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; Markdown; README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Introduction to version control; Jupyter notebooks; Collaborative distributed version control; Automated testing; Git branch design; Reproducible research,Improve my programming skills and being able to work coding in teams.
,,2020-01-17 11:32:13.878545+00:00,Research software engineer,Biological Sciences,Linux,Ubuntu,Git,R; Python,Yes,No but I know what it is,No but I know what it is,Yes,Comments in the source code; RST/Sphinx; readthedocs.org; Markdown; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Documentation; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Archaeology with Git; Git branch design; Software licensing; Reproducible research,
,,2020-01-17 09:22:03.727536+00:00,Graduate student,Biological Sciences,macOS,"Mojave, 10.14.16",Git,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; PDF; HMTL; Markdown; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Archaeology with Git; Git branch design; Reproducible research,To learn how to achieve good coding practices so others can read/edit my code more easily if required.
,,2020-01-16 14:05:59.416587+00:00,Graduate student,Biological Sciences,Windows,"Windows, but I have an Ubuntu virtual box",Git,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Wiki; Markdown; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Jupyter notebooks; Automated testing; Git branch design; Software licensing; Reproducible research,I would love to learn automation (snakemake)
,,2020-01-16 08:50:38.766354+00:00,Graduate student,Biological Sciences,macOS,"macOS Mojave, or ssh to a ubuntu 18.04.3 LTS serve",Git; Mercurial,R; Python,No but I know what it is,No but I know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Jupyter notebooks; Collaborative distributed version control; Automated testing; Reproducible research,Insights in how to use version control for collaborative research projects involving data analysis.
,,2020-01-15 11:43:43.975271+00:00,Researcher,Biological Sciences,Linux,Ubuntu 18.04,Git,R; Python; C,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,GitHub; Other,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Documentation; Jupyter notebooks; Automated testing; Archaeology with Git; Git branch design; Reproducible research,Make code that can be distributed associated to research publications and that it can be used by other people
,,2020-01-15 10:10:27.354633+00:00,Graduate student,Biological Sciences,macOS,macOS Catalina,I don't use version control and I don't know what it is,Matlab; R; Python; Perl; Other,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; Other,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Git branch design; Reproducible research,How to work effectively with code! Looking forward to it :)
,,2020-01-14 13:16:25.045579+00:00,Graduate student,Biological Sciences,macOS,"macOS Mojave, version 10.14.3",I don't use version control but I know what it is,R; Python; Perl,No and I don't know what it is,No and I don't know what it is,Yes,No and I don't know what it is,Comments in the source code; README files; Other,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Introduction to version control; Documentation; Integrated development environments; Archaeology with Git; Reproducible research,"I code a lot in my daily life but i am very bad at managing my code apart from heavily documenting my source code. I hope to get an introduction to what managing tools there are, how to work with them and a general idea of efficient ways of managing my code. I'd like to be more organised :)"
