,Gender,Affiliation
0,Female,UiT The Arctic University of Norway
1,Male,Senior Engineer at Industrial Ecology at NTNU
2,Male,VIB-UGent Center for Plant Systems Biology
3,Male,"Uppsala University,, Department of Cell and Molecular Biology"
4,Male,"CTCC, University of Oslo"
5,Male,CTCC
6,Male,Norwegian University of Science and Technology
7,Male,"CTCC, University of Oslo, Oslo "
8,Male,"Fusion plasma physics, Department of Physics, University of Tromsø"
9,Male,"Earth Observation Group, IFT, UiT"
10,Prefer not to say,"Department of Community Medicine, UiT"
11,Female,"CTCC, Department of Chemistry, University of Oslo"
12,Male,"CTCC, Department of Chemistry, University of Oslo"
13,Male,Nanoscopy group of NT-FAK IFT UiT
14,Male,"CTCC, UiT"
15,Female,"University of Oslo, CTCC"
16,Male,IFT
17,Male,"EO group, Physics and Technology, UIT"
18,Male,Energy and climate group ntfak
19,Female,"IFT, Space Physics, UiT"
20,Male,UiT
21,Male,Norwegian Polar Institute
22,Male,University of Tromsø
