,Gender,Affiliation
0,Male,Department of Informatics
1,Female,Department of Informatics
2,Male,department of physics
3,Male,"HPC2N, Umeå University"
4,Male,"HPC2N, Umeå universitet"
5,Male,Computing Science Department
6,Male,Umeå University
7,Male,"HPC2N, Umeå University"
8,Female,"HPC2N, Umeå University"
9,Male,"CS @ UMU (Umeå), IFI @ UiO (Oslo)"
10,Male,Umeå University
11,Male,"Computing Science Department, UMU"
12,Male,"Department of Medical Biosciences, Umeå University"
13,Male,"HPC2N, Umeå University"
14,Female,Department of Computing Science
15,Male,"Department of physics, Umeå University"
16,Male,UFBI and IMB at Umeå University
17,Male,"Department of Computing Science, Umeå University"
18,Male,HPC2N
19,Male,"Department of Computing Science,, Umeå University"
20,Male,Umea University
