,Gender,Affiliation
0,Male,University of Turku
1,Female,University of Turku
2,Male,Chalmers University of Technology
3,Male,University of Turku
4,Male,"faculty of medicine and life science, university of tampere"
5,Male,"Tuorla observatory, University of Turku"
6,Female,Department of Social Research
7,Male,University of Turku
8,Male,University of Helsinki
9,Male,University of Turku
10,Male,University of Turku
11,Female,Aalto University
12,Male,Aalto University
13,Male,Åbo Akademi University
14,Male,"Dept. of Chemistry, University of Helsinki"
15,Male,"CSC, Finland"
16,Female,Natural Resources Institute Finland
17,Male,University of Turku
18,Male,"University of Helsinki, Department of physics"
19,Female,University of Turku
20,Male,"Department of Physics, Åbo Akademi University"
21,Male,University of Turku
22,Prefer not to say,Physics / Åbo Akademi University
