,Affiliation
0,Aalto university
1,University of Helsinki
2,Aalto University
3,HU
4,Aalto
5,
6,
7,Aalto University
8,
9,Master student
10,University of Helsinki
11,University of Helsinki
12,University of Helsinki
13,Finnish Centre for Astronomy with ESO
14,
15,Aalto University
16,
17,Aalto University
18,Aalto University
19,Doctoral Candidate
20,Aalto university
21,Aalto University
22,University of Cambridge
23,Aalto University
24,
25,
26,University of Helsinki
27,Natural Resources Institute Finland
28,Aalto University
29,Aarhus University
30,Aalto University
31,University of Helsinki - INAR
32,Finnish Center for Astronomy/University of Helsinki
