,Affiliation
0,
1,Uppsala University
2,
3,University of Gothenburg
4,SciLifeLab
5,Chalmers University of Technology
6,Uppsala/Lund University
7,Uppsala University
8,Uppsala University
9,KTH
10,Swedish University of Agricultural Sciences (SLU)
11,Uppsala Universitet
12,Uppsala University
13,KTH
14,Swedish University of Agriculture
15,"Systematic Biology, IOB, Uppsala University"
16,Uppsala University
17,Uppsala university
18,Uppsala University
19,Uppsala University
20,Uppsala University
21,"U-CARE, Uppsala University"
22,Uppsala university
23,Uppsala University
24,SLU
25,uppsala university
26,Uppsala University - Chemistry Ångström
27,Karolinska Institutet
28,University of Oslo
29,Stockholm University
30,Uppsala University
