What is the <strong>operating system</strong> that you will use during the course (on your laptop)?,Other,"Which <strong>version</strong> of operating system are you using? If your operating system is Linux, which <strong>distribution</strong> are you using?",I don't use version control and I don't know what it is,I don't use version control but I know what it is,"I use version control, but I don't know which system",Git,Mercurial,Subversion,CVS,Perforce,Bazaar,Other,Matlab,R,Python,Perl,C,C++,Fortran 77,Fortran 90+,Julia,Haskell,Go,Other,Are you using <strong>automated testing</strong> in your programming project(s)?,Are you using <strong>code coverage analysis</strong> in your programming project(s)?,Are you employing <strong>code review</strong> in your programming project(s)?,Are you using the <strong>Travis or Jenkins</strong> continuous integration service in your programming project(s)?,No documentation,Comments in the source code,Doxygen,Wiki,RST/Sphinx,"Read the Docs",MkDocs,PDF,HMTL,Markdown,README files,Other,CMake,Makefiles,SCons,Autotools,"None, but I want to learn",Not relevant to my project(s),Other,I'm not using a web-based repository,GitHub,GitLab,Bitbucket,Redmine,Other,How would you describe your <strong>programming experience</strong>?,How comfortable are you with the Unix/Linux <strong>command line</strong> working in a <strong>terminal window</strong>?,Are you using an <strong>integrated development environment (IDE)</strong> for your programming project(s)?,Please specify your main <strong>academic discipline</strong>.,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,Start Date (UTC),Submit Date (UTC)
Linux,,Fedora 25,,,,Git,,,,,,,,,Python,,C,,Fortran 77,Fortran 90+,,,,,Yes,No and I don't know what it is,No but I know what it is,No but I know what at least one of them does,,Comments in the source code,,Wiki,,,,,,Markdown,README files,,CMake,Makefiles,,,,,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Computer and Information Sciences,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,2017-11-06 10:03:53,2017-11-06 10:09:03
Linux,,Ubuntu 16.04 LTS,I don't use version control and I don't know what it is,,,,,,,,,,,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",Not relevant to my project(s),,,GitHub,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,Git and version control,,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,2017-10-31 20:54:59,2017-10-31 21:00:00
Linux,,Linux mint,,,,Git,,,,,,,,,,,C,,,Fortran 90+,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,Wiki,,,,,,,README files,,,Makefiles,,,,,,,,,,Redmine,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Earth and Related Environmental Sciences,Git and version control,Jupyter notebooks,Integrated development environments,,,Modular code development,,Documentation,2017-10-31 14:55:36,2017-10-31 15:01:23
Mac OS X,,mac os,,,,Git,,,,,,,,,,,C,,,Fortran 90+,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,PDF,,,README files,,,Makefiles,,,,,,I'm not using a web-based repository,,,,,,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Mechanical Engineering,Git and version control,,,Automated testing,,,,Documentation,2017-10-30 10:28:35,2017-10-30 10:34:07
Linux,,Arch,,,,Git,,,,,,,,,Python,,,,,Fortran 90+,,,,,No but I know what it is,No but I know what it is,No and I don't know what it is,"Yes, I use either Travis or Jenkins or both",,,,,,,,,,,README files,,CMake,Makefiles,,,,,,,GitHub,GitLab,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,Git and version control,Jupyter notebooks,,,CMake,,,,2017-10-24 05:51:44,2017-10-24 05:55:29
Linux,,Ubuntu 14.04,,,,Git,,Subversion,,,,,,,Python,,,,Fortran 77,Fortran 90+,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,CMake,Makefiles,,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Earth and Related Environmental Sciences,Git and version control,,,,CMake,Modular code development,,Documentation,2017-10-23 07:52:42,2017-10-23 08:02:24
Linux,,Ubuntu,,,,Git,,,,,,,,,Python,,,,,Fortran 90+,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,No documentation,Comments in the source code,,Wiki,,,,,,,README files,,,Makefiles,,,,,,,,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,Git and version control,Jupyter notebooks,,Automated testing,,,,,2017-10-17 15:08:40,2017-10-17 15:13:47
Mac OS X,,,,,,Git,,,,,,,Matlab,R,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,,Jupyter notebooks,Integrated development environments,Automated testing,,Modular code development,,,2017-10-16 08:47:17,2017-10-16 08:54:26
Mac OS X,,,,,,Git,,,,,,,,,,,,,,,,,,"Java, PHP",No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what at least one of them does,,Comments in the source code,,,,,,,,,README files,,,,,,"None, but I want to learn",,,,GitHub,,,,,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Git and version control,,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,2017-10-14 09:43:50,2017-10-14 09:55:04
Mac OS X,,10.11.6,,,,Git,,,,,,,,,Python,,C,C++,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,CMake,Makefiles,,,,,,,GitHub,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Physical Sciences,,Jupyter notebooks,Integrated development environments,Automated testing,,,,Documentation,2017-10-13 14:52:52,2017-10-13 14:59:58
Linux,,I will work on NSC clusters triolith/gamma,,I don't use version control but I know what it is,,,,,,,,,,,Python,,,,Fortran 77,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,CMake,Makefiles,,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Git and version control,,,,CMake,Modular code development,,Documentation,2017-10-13 08:00:02,2017-10-13 08:05:21
Windows,,windows 10,I don't use version control and I don't know what it is,,,,,,,,,,,,,,,,,,,,Go,java,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,2017-10-12 12:48:45,2017-10-12 12:52:44
Linux,,,,,,Git,,,,,,,,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,Yes,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,README files,,,,,,"None, but I want to learn",,,,GitHub,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Mathematics,Git and version control,Jupyter notebooks,,,,Modular code development,,Documentation,2017-10-11 13:59:40,2017-10-11 14:23:54
