What is the <strong>operating system</strong> that you will use during the course (on your laptop)?,Other,I don't use version control and I don't know what it is,I don't use version control but I know what it is,"I use version control, but I don't know which system",Git,Mercurial,Subversion,CVS,Perforce,Bazaar,Other,Matlab,R,Python,Perl,C,C++,Fortran 77,Fortran 90+,Julia,Haskell,Go,Other,Are you using <strong>automated testing</strong> in your programming project(s)?,Are you using <strong>code coverage analysis</strong> in your programming project(s)?,Are you employing <strong>code review</strong> in your programming project(s)?,Are you using the <strong>Travis or Jenkins</strong> continuous integration service in your programming project(s)?,No documentation,Comments in the source code,Doxygen,Wiki,RST/Sphinx,"Read the Docs",MkDocs,PDF,HMTL,Markdown,README files,Other,CMake,Makefiles,SCons,Autotools,None or not applicable to my project(s),Other,I'm not using a web-based repository,GitHub,GitLab,Bitbucket,Redmine,Other,How would you describe your <strong>programming experience</strong>?,Please specify your main <strong>academic discipline</strong>.,Start Date (UTC),Submit Date (UTC)
Linux,,,,,Git,Mercurial,Subversion,,,,,,,,,C,,Fortran 77,,,,,,No but I know what it is,No but I know what it is,No and I don't know what it is,No but I know what at least one of them does,,Comments in the source code,Doxygen,,,,,,,,README files,,CMake,Makefiles,SCons,Autotools,,,,GitHub,GitLab,Bitbucket,,,I have written many small codes and/or contributed to large complex software,Computer and Information Sciences,2016-11-30 12:03:19,2016-11-30 12:06:13
Mac OS X,,,I don't use version control but I know what it is,,,,,,,,,,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,HMTL,Markdown,README files,,,,,,None or not applicable to my project(s),,I'm not using a web-based repository,,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments",Biological Sciences,2016-11-29 10:43:46,2016-11-29 10:48:32
Linux,,,I don't use version control but I know what it is,,,,,,,,,,,,,C,,,,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,CMake,,,,,,,GitHub,,,,,I am an expert,Computer and Information Sciences,2016-11-23 08:35:43,2016-11-23 08:39:25
Linux,,,,"I use version control, but I don't know which system",Git,Mercurial,,,,,,,,Python,,C,C++,,Fortran 90+,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what at least one of them does,,Comments in the source code,,,RST/Sphinx,"Read the Docs",,,,,README files,,CMake,Makefiles,,,,,,GitHub,,Bitbucket,,,I have written my own simple programs,Earth and Related Environmental Sciences,2016-11-22 12:49:39,2016-11-22 12:55:53
Mac OS X,,,,,Git,,,,,,,,R,Python,Perl,,,,,,,,,Yes,Yes,No but I know what it is,"Yes, I use either Travis or Jenkins or both",,,,,,,,,,Markdown,,,,,,,None or not applicable to my project(s),,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,Biological Sciences,2016-11-18 13:38:30,2016-11-18 13:45:10
Mac OS X,,,I don't use version control but I know what it is,,,,,,,,,,,,,,,,,,,,Java,No but I know what it is,No but I know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,,Xcode,,GitHub,,,,,I have written my own simple programs,Computer and Information Sciences,2016-11-17 12:48:48,2016-11-17 13:12:30
Mac OS X,,,,,Git,,,,,,,,,,,,C++,Fortran 77,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,Makefiles,,,,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,Mechanical Engineering,2016-11-17 05:02:35,2016-11-17 05:10:49
Linux,,,,,Git,,,,,,,,,Python,,C,C++,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,CMake,Makefiles,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,Physical Sciences,2016-11-16 12:28:58,2016-11-16 12:35:34
Mac OS X,,,,,Git,,,,,,,,,Python,,C,,,Fortran 90+,,,,,No but I know what it is,No but I know what it is,No and I don't know what it is,No but I know what at least one of them does,,Comments in the source code,,,,,,,,,README files,,CMake,,,,,,,GitHub,,,,,I have written my own simple programs,Physical Sciences,2016-11-16 11:51:41,2016-11-16 12:24:13
Windows,,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,,,,,,,None or not applicable to my project(s),,,,,,,Dropbox,I have written my own simple programs,Chemical Sciences,2016-11-15 10:52:49,2016-11-15 12:12:22
Linux,,,,,Git,,,,,,,Matlab,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,No documentation,Comments in the source code,,,,,,,,,,,,,,,None or not applicable to my project(s),,,,GitLab,,,,I have written many small codes and/or contributed to large complex software,Biological Sciences,2016-11-11 23:37:08,2016-11-11 23:42:38
Linux,,,,,Git,,,,,,,,,,,,,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,Makefiles,,,,,I'm not using a web-based repository,,,,,,I have written my own simple programs,Physical Sciences,2016-11-11 13:07:18,2016-11-11 13:12:27
Mac OS X,,,I don't use version control but I know what it is,,,,,,,,,,R,Python,Perl,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,,,,,,,None or not applicable to my project(s),,,,,,,all code is stored in KI box and on Uppmax,I have written many small codes and/or contributed to large complex software,Basic Medicine,2016-11-11 12:03:45,2016-11-11 12:26:28
Mac OS X,,,,,Git,,,,,,,,R,Python,,,,,,,,,Bash/general Unix programming,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,Markdown,,,,Makefiles,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,Medical Biotechnology,2016-11-11 11:45:05,2016-11-11 11:49:26
Windows,,,I don't use version control but I know what it is,,,,,,,,,,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,None or not applicable to my project(s),,I'm not using a web-based repository,,,,,,I have written my own simple programs,Biological Sciences,2016-11-11 11:04:56,2016-11-11 11:07:05
Mac OS X,,,,,Git,,,,,,,,,Python,,,,,,,,,,No but I know what it is,No but I know what it is,Yes,No but I know what at least one of them does,,,,,,,,,,,README files,,,,,,None or not applicable to my project(s),,,GitHub,,Bitbucket,,,I have written many small codes and/or contributed to large complex software,Civil Engineering,2016-11-10 12:04:18,2016-11-10 12:07:21
