What is the <strong>operating system</strong> that you will use during the course (on your laptop)?,Other,"Which <strong>version</strong> of operating system are you using? If your operating system is Linux, which <strong>distribution</strong> are you using?",I don't use version control and I don't know what it is,I don't use version control but I know what it is,"I use version control, but I don't know which system",Git,Mercurial,Subversion,CVS,Perforce,Bazaar,Other,Matlab,R,Python,Perl,C,C++,Fortran 77,Fortran 90+,Julia,Haskell,Go,Other,Are you using <strong>automated testing</strong> in your programming project(s)?,Are you using <strong>code coverage analysis</strong> in your programming project(s)?,Are you employing <strong>code review</strong> in your programming project(s)?,Are you using the <strong>Travis or Jenkins</strong> continuous integration service in your programming project(s)?,No documentation,Comments in the source code,Doxygen,Wiki,RST/Sphinx,"Read the Docs",MkDocs,PDF,HMTL,Markdown,README files,Other,CMake,Makefiles,SCons,Autotools,"None, but I want to learn",Not relevant to my project(s),Other,I'm not using a web-based repository,GitHub,GitLab,Bitbucket,Redmine,Other,How would you describe your <strong>programming experience</strong>?,How comfortable are you with the Unix/Linux <strong>command line</strong> working in a <strong>terminal window</strong>?,Are you using an <strong>integrated development environment (IDE)</strong> for your programming project(s)?,Please specify your main <strong>academic discipline</strong>.,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,Reproducible research,Start Date (UTC),Submit Date (UTC)
Mac OS X,,Sierra (10.12.6),,,,Git,,,,,,,,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,,,GitLab,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,Git and version control,Jupyter notebooks,Integrated development environments,,,Modular code development,,Documentation,Reproducible research,2018-08-20 10:30:48,2018-08-20 10:34:58
Mac OS X,,Mac OS X  Yoesmite version 10.10.5,,I don't use version control but I know what it is,,,,,,,,,,R,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Biological Sciences,Git and version control,Jupyter notebooks,,,,,,Documentation,Reproducible research,2018-08-20 08:49:40,2018-08-20 09:00:14
Mac OS X,,macOS High Sierra 10.13.6,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,Python,,C,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Medical Engineering,Git and version control,,,Automated testing,,Modular code development,,,,2018-08-16 14:55:51,2018-08-16 15:09:57
Windows,,Windows 10,,,,,,Subversion,,,,,,R,Python,,,,,,,,,,No but I know what it is,No but I know what it is,Yes,No but I know what at least one of them does,No documentation,,,,,,,,,,,,,,,,,,Intelllij,I'm not using a web-based repository,,,,,,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Git and version control,Jupyter notebooks,,,,Modular code development,Software licensing,,,2018-08-16 08:35:11,2018-08-16 08:51:09
Windows,,Windows 10,,,,Git,,,,,,,,R,Python,,,,,,Julia,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,,,,,Not relevant to my project(s),,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Git and version control,,,Automated testing,,,Software licensing,,,2018-08-14 23:38:56,2018-08-14 23:51:01
Linux,,Ubuntu 16.4,,,,Git,,,,,,,,,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know either of those,No documentation,,,,,,,,,,,,,,,,,Not relevant to my project(s),,,,,Bitbucket,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,"Electrical Engineering, Electronic Engineering, Information Engineering",Git and version control,,,,,Modular code development,,,,2018-08-13 12:30:34,2018-08-13 12:33:45
Mac OS X,,10.13.6,,I don't use version control but I know what it is,,,,,,,,,,,Python,,C,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,Makefiles,,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Physical Sciences,Git and version control,,,Automated testing,,Modular code development,,,Reproducible research,2018-08-13 11:41:21,2018-08-13 11:49:44
Linux,,Centos (or ubuntu or arch linux),,,,Git,,,,,,,,,Python,,,,,,,,,,No but I know what it is,No and I don't know what it is,No but I know what it is,No but I know what at least one of them does,,Comments in the source code,,Wiki,,,,,HMTL,Markdown,README files,,,,,,,Not relevant to my project(s),,,,GitLab,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Earth and Related Environmental Sciences,Git and version control,,,Automated testing,,,Software licensing,,,2018-08-09 12:57:09,2018-08-09 13:47:19
Linux,,Ubuntu,,,,Git,,,,,,,,,Python,,,,,,,,,,No but I know what it is,No but I know what it is,No but I know what it is,No but I know what at least one of them does,,,,Wiki,,,,,,Markdown,README files,,,,,,,Not relevant to my project(s),,,,GitLab,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Git and version control,,Integrated development environments,Automated testing,,Modular code development,,,,2018-08-09 13:39:40,2018-08-09 13:46:42
Mac OS X,,"Latest, 10.13.6",,,,Git,,,,,,,,,Python,,,,,,,,,,No but I know what it is,Yes,Yes,No but I know what at least one of them does,,Comments in the source code,,Wiki,,,,,,Markdown,README files,,,,,,,,Setuptools,,,GitLab,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Git and version control,,,Automated testing,CMake,Modular code development,,Documentation,Reproducible research,2018-08-03 09:48:07,2018-08-03 09:59:48
Windows,,windows 10,,I don't use version control but I know what it is,,,,,,,,,,R,,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,,Not relevant to my project(s),,I'm not using a web-based repository,,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Git and version control,,,,,,,,,2018-07-06 09:43:35,2018-07-06 10:00:12
Linux,,Mint,,,,Git,,,,,,,,,Python,,C,C++,,,,,,,No but I know what it is,No but I know what it is,No but I know what it is,No but I know what at least one of them does,,Comments in the source code,,,,,,,,,README files,,,,,,,,setuptools/easy_install,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Computer and Information Sciences,Git and version control,Jupyter notebooks,,Automated testing,CMake,Modular code development,Software licensing,,,2018-06-13 15:28:24,2018-06-13 15:34:40
Linux,,"Ubuntu 16.04.4 LTS, maybe 18.04 LTS",I don't use version control and I don't know what it is,,,,,,,,,,,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,,,,Automated testing,,Modular code development,,Documentation,,2018-06-11 12:55:13,2018-06-11 13:15:10
Linux,,Xubuntu or CentOS not sure which laptop I will use,,,,Git,,,,,,,,R,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,No documentation,Comments in the source code,,,,,,,,,README files,,,,,,,Not relevant to my project(s),,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Biological Sciences,Git and version control,,,,,,,Documentation,Reproducible research,2018-06-11 08:21:21,2018-06-11 08:31:47
Windows,,windows 10,I don't use version control and I don't know what it is,,,,,,,,,,Matlab,,Python,,,C++,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,No documentation,,,,,,,,,,,,,,,,"None, but I want to learn",,,I'm not using a web-based repository,,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Mechanical Engineering,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,Reproducible research,2018-06-11 07:31:43,2018-06-11 07:40:55
Mac OS X,,macOS High Sierra,I don't use version control and I don't know what it is,,,,,,,,,,,,Python,,,,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,CMake,,,,,,,I'm not using a web-based repository,,,,,,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Physical Sciences,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,,Documentation,,2018-06-09 00:09:02,2018-06-09 00:18:18
Mac OS X,,High Sierra,,,,Git,,,,,,,Matlab,,Python,,,,Fortran 77,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,,,,,"Read the Docs",,PDF,,,,,,,,,"None, but I want to learn",,,,GitHub,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Earth and Related Environmental Sciences,Git and version control,Jupyter notebooks,,,,,,,,2018-06-08 20:05:46,2018-06-08 20:09:28
Mac OS X,,Mac OSX,I don't use version control and I don't know what it is,,,,,,,,,,,,Python,,,,,,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,No documentation,,,,,,,,,,,,,,,,"None, but I want to learn",Not relevant to my project(s),,I'm not using a web-based repository,,,,,,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Physical Sciences,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,Reproducible research,2018-06-06 02:34:53,2018-06-06 02:40:23
Linux,,Ubuntu 16.10,,I don't use version control but I know what it is,,,,,,,,,Matlab,,Python,,,C++,,Fortran 90+,,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,,,,,,,,,,README files,,,Makefiles,,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Chemical Sciences,Git and version control,,,,CMake,,,,,2018-06-06 02:01:03,2018-06-06 02:08:42
Linux,,OpenSuSE tumbleweed,,,,Git,,,,,,,,,,,,,,Fortran 90+,,,,,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,README files,,,Makefiles,,,,,,I'm not using a web-based repository,,,,,,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but I prefer text editors for my development,Physical Sciences,,Jupyter notebooks,,,,,,,,2018-06-04 15:17:05,2018-06-04 15:24:00
Linux,,openSUSE Tumbleweed,,I don't use version control but I know what it is,,Git,,,,,,,Matlab,R,Python,,,C++,,Fortran 90+,Julia,,,,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know either of those,,Comments in the source code,,,,,,,,,,,,Makefiles,,,,,,I'm not using a web-based repository,,,,,,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Physical Sciences,Git and version control,Jupyter notebooks,Integrated development environments,Automated testing,CMake,Modular code development,Software licensing,Documentation,Reproducible research,2018-06-03 15:47:48,2018-06-03 16:03:13
